Country,Year,"Total Government Expenditure on Education"
Afghanistan,2010,4.51116
Afghanistan,2011,4.08791
Afghanistan,2012,3.12561
Afghanistan,2013,4.57747
Afghanistan,2014,4.6191
Albania,1996,3.27428
Albania,1997,3.47532
Albania,1998,3.30127
Albania,1999,3.36038
Albania,2000,3.23823
Albania,2001,3.31589
Albania,2002,3.04681
Albania,2003,3.11557
Albania,2004,3.10656
Albania,2005,3.15439
Albania,2006,3.10882
Albania,2007,3.26868
Albania,2013,3.50083
Algeria,2008,4.33702
Andorra,1997,3.71328
Andorra,2002,1.69684
Andorra,2004,1.53254
Andorra,2005,1.60025
Andorra,2006,2.19399
Andorra,2007,2.07405
Andorra,2008,2.93457
Andorra,2009,3.16387
Andorra,2010,3.0658
Andorra,2011,3.15889
Andorra,2013,2.46258
Angola,1998,2.59149
Angola,2000,2.60753
Angola,2005,2.7762
Angola,2006,2.85969
Angola,2010,3.47644
"Antigua and Barbuda",1999,3.23707
"Antigua and Barbuda",2002,3.44539
"Antigua and Barbuda",2009,2.55447
Argentina,1996,3.73198
Argentina,1998,4.03987
Argentina,1999,4.52168
Argentina,2000,4.58031
Argentina,2001,4.83374
Argentina,2002,4.01734
Argentina,2003,3.53505
Argentina,2004,3.15654
Argentina,2005,3.47405
Argentina,2006,3.65499
Argentina,2007,3.89635
Argentina,2008,4.33782
Argentina,2009,4.89
Argentina,2010,4.60637
Argentina,2011,4.98632
Argentina,2012,5.09905
Argentina,2013,5.3441
Armenia,1996,1.84843
Armenia,1999,2.23519
Armenia,2000,2.77273
Armenia,2001,2.46944
Armenia,2002,2.13504
Armenia,2003,2.14504
Armenia,2004,2.48673
Armenia,2005,2.71203
Armenia,2006,2.71577
Armenia,2007,3.01894
Armenia,2008,3.17273
Armenia,2009,3.84079
Armenia,2010,3.249
Armenia,2011,3.14385
Armenia,2012,3.27524
Armenia,2013,2.82555
Armenia,2014,2.39756
Aruba,1998,4.76316
Aruba,1999,4.39554
Aruba,2000,4.71468
Aruba,2001,4.73949
Aruba,2002,4.92427
Aruba,2004,4.4089
Aruba,2005,4.68076
Aruba,2007,4.79918
Aruba,2008,4.91559
Aruba,2009,5.92467
Aruba,2010,6.71249
Aruba,2011,6.03687
Australia,1996,5.22949
Australia,2000,4.89425
Australia,2005,4.91079
Australia,2006,4.74288
Australia,2007,4.65902
Australia,2008,4.63339
Australia,2009,5.0942
Australia,2010,5.57355
Australia,2011,5.10608
Australia,2012,4.90641
Austria,1996,5.27168
Austria,1998,6.1199
Austria,1999,6.12533
Austria,2000,5.59957
Austria,2001,5.58635
Austria,2002,5.53269
Austria,2003,5.38187
Austria,2004,5.32094
Austria,2005,5.27148
Austria,2006,5.25293
Austria,2007,5.17663
Austria,2008,5.29698
Austria,2009,5.7674
Austria,2010,5.7332
Austria,2011,5.61861
Austria,2012,5.45065
Azerbaijan,1996,3.51252
Azerbaijan,1998,3.38
Azerbaijan,1999,4.21217
Azerbaijan,2000,3.85399
Azerbaijan,2001,3.50342
Azerbaijan,2002,3.15449
Azerbaijan,2003,3.28615
Azerbaijan,2004,3.44766
Azerbaijan,2005,2.97462
Azerbaijan,2006,2.55551
Azerbaijan,2007,2.54928
Azerbaijan,2008,2.44093
Azerbaijan,2009,3.22431
Azerbaijan,2010,2.78062
Azerbaijan,2011,2.43564
Azerbaijan,2012,2.0963
Azerbaijan,2013,2.46218
Bahamas,2000,2.84999
Bahrain,2006,2.87436
Bahrain,2007,2.575
Bahrain,2008,2.49678
Bahrain,2012,2.6447
Bangladesh,1997,1.95247
Bangladesh,1999,2.13282
Bangladesh,2000,2.12508
Bangladesh,2001,2.17193
Bangladesh,2002,2.01715
Bangladesh,2003,2.06939
Bangladesh,2004,1.94014
Bangladesh,2006,2.13129
Bangladesh,2007,2.20222
Bangladesh,2008,2.05457
Bangladesh,2009,1.93942
Bangladesh,2012,2.0458
Bangladesh,2013,1.96616
Barbados,1999,4.25458
Barbados,2000,4.62159
Barbados,2001,5.9389
Barbados,2002,5.77131
Barbados,2003,6.1233
Barbados,2004,5.91066
Barbados,2005,5.56433
Barbados,2007,5.11607
Barbados,2008,5.06121
Barbados,2009,5.32773
Barbados,2010,5.87482
Barbados,2012,5.62441
Barbados,2013,5.50356
Barbados,2014,6.71179
Belarus,1999,6.00001
Belarus,2000,6.19662
Belarus,2004,5.71226
Belarus,2005,5.87103
Belarus,2006,6.07696
Belarus,2007,5.1521
Belarus,2009,4.51672
Belarus,2010,5.41013
Belarus,2011,4.84382
Belarus,2012,5.12106
Belarus,2013,5.17594
Belarus,2014,4.98752
Belgium,1996,3.03222
Belgium,2001,5.85421
Belgium,2002,5.95818
Belgium,2003,5.89272
Belgium,2004,5.81384
Belgium,2005,5.77514
Belgium,2006,5.82776
Belgium,2007,5.843
Belgium,2008,6.27367
Belgium,2009,6.39845
Belgium,2010,6.39667
Belgium,2011,6.36516
Belize,1999,5.44439
Belize,2000,5.02928
Belize,2001,5.79918
Belize,2003,5.20613
Belize,2004,5.2994
Belize,2008,5.68789
Belize,2009,6.10014
Belize,2010,6.621
Belize,2013,6.21729
Benin,1998,2.74789
Benin,1999,2.83867
Benin,2000,3.14591
Benin,2001,3.46637
Benin,2002,3.21089
Benin,2003,3.42565
Benin,2004,3.91554
Benin,2005,4.00211
Benin,2006,3.82888
Benin,2007,3.49798
Benin,2008,4.08138
Benin,2009,4.5508
Benin,2010,5.34238
Benin,2012,5.26143
Benin,2013,5.01267
Benin,2014,4.7956
Bermuda,1998,2.15227
Bermuda,2003,1.66627
Bermuda,2004,1.77588
Bermuda,2005,1.98877
Bermuda,2009,2.61519
