Country,Year,"Total_YearsSchool – Lee-Lee (2016)"
Afghanistan,1870,0.01
Afghanistan,1875,0.01
Afghanistan,1880,0.01
Afghanistan,1885,0.01
Afghanistan,1890,0.01
Afghanistan,1895,0.01
Afghanistan,1900,0.01
Afghanistan,1905,0.01
Afghanistan,1910,0.01
Afghanistan,1915,0.02
Afghanistan,1920,0.03
Afghanistan,1925,0.04
Afghanistan,1930,0.04
Afghanistan,1935,0.05
Afghanistan,1940,0.2
Afghanistan,1945,0.22
Afghanistan,1950,0.26
Afghanistan,1955,0.3
Afghanistan,1960,0.38
Afghanistan,1965,0.43
Afghanistan,1970,0.72
Afghanistan,1975,0.96
Afghanistan,1980,1.29
Afghanistan,1985,1.73
Afghanistan,1990,2.06
Afghanistan,1995,2.4
Afghanistan,2000,3.03
Afghanistan,2005,3.32
Afghanistan,2010,3.93
Albania,1870,0.02
Albania,1875,0.03
Albania,1880,0.03
Albania,1885,0.04
Albania,1890,0.05
Albania,1895,0.06
Albania,1900,0.08
Albania,1905,0.1
Albania,1910,0.15
Albania,1915,0.24
Albania,1920,0.36
Albania,1925,0.51
Albania,1930,0.67
Albania,1935,0.84
Albania,1940,1.08
Albania,1945,1.8
Albania,1950,2.75
Albania,1955,2.93
Albania,1960,3.23
Albania,1965,3.63
Albania,1970,4.63
Albania,1975,5.77
Albania,1980,6.95
Albania,1985,7.93
Albania,1990,8.61
Albania,1995,8.54
Albania,2000,9.93
Albania,2005,10.24
Albania,2010,10.44
Algeria,1870,0.1
Algeria,1875,0.13
Algeria,1880,0.16
Algeria,1885,0.2
Algeria,1890,0.23
Algeria,1895,0.27
Algeria,1900,0.39
Algeria,1905,0.51
Algeria,1910,0.6
Algeria,1915,0.58
Algeria,1920,0.65
Algeria,1925,0.71
Algeria,1930,0.74
Algeria,1935,0.78
Algeria,1940,0.8
Algeria,1945,0.82
Algeria,1950,0.83
Algeria,1955,0.82
Algeria,1960,0.9
Algeria,1965,1.15
Algeria,1970,1.69
Algeria,1975,2.26
Algeria,1980,3
Algeria,1985,4.28
Algeria,1990,5.05
Algeria,1995,5.76
Algeria,2000,6.06
Algeria,2005,6.43
Algeria,2010,7
Argentina,1870,0.39
Argentina,1875,0.49
Argentina,1880,0.59
Argentina,1885,0.65
Argentina,1890,0.7
Argentina,1895,0.83
Argentina,1900,0.97
Argentina,1905,1.45
Argentina,1910,1.81
Argentina,1915,2.35
Argentina,1920,2.94
Argentina,1925,3.29
Argentina,1930,3.72
Argentina,1935,4.04
Argentina,1940,4.33
Argentina,1945,4.65
Argentina,1950,4.91
