,Recipients,Sends,Deliveries,Opens,Conversions,Send Rate,Delivery Rate,Open Rate,Conversion Rate
0,639.0,466.0,419.0,261.0,25.0,0.729264475743349,0.8991416309012875,0.6229116945107399,0.09578544061302682
1,748.0,688.0,641.0,296.0,39.0,0.9197860962566845,0.9316860465116279,0.46177847113884557,0.13175675675675674
2,670.0,617.0,584.0,221.0,19.0,0.9208955223880597,0.946515397082658,0.3784246575342466,0.08597285067873303
3,848.0,781.0,747.0,341.0,31.0,0.9209905660377359,0.9564660691421255,0.4564926372155288,0.09090909090909091
4,345.0,255.0,232.0,100.0,15.0,0.7391304347826086,0.9098039215686274,0.43103448275862066,0.15
5,638.0,587.0,545.0,302.0,32.0,0.9200626959247649,0.9284497444633731,0.5541284403669725,0.10596026490066225
6,699.0,609.0,559.0,330.0,57.0,0.871244635193133,0.9178981937602627,0.590339892665474,0.17272727272727273
7,575.0,522.0,480.0,218.0,28.0,0.9078260869565218,0.9195402298850575,0.45416666666666666,0.12844036697247707
8,500.0,409.0,373.0,186.0,15.0,0.818,0.9119804400977995,0.49865951742627346,0.08064516129032258
9,710.0,653.0,601.0,425.0,38.0,0.9197183098591549,0.9203675344563553,0.7071547420965059,0.08941176470588236
10,1126.0,1036.0,930.0,343.0,35.0,0.9200710479573713,0.8976833976833977,0.3688172043010753,0.10204081632653061
11,762.0,701.0,633.0,185.0,24.0,0.9199475065616798,0.9029957203994294,0.292259083728278,0.12972972972972974
12,656.0,545.0,497.0,240.0,20.0,0.8307926829268293,0.9119266055045872,0.482897384305835,0.08333333333333333
13,536.0,493.0,434.0,177.0,20.0,0.9197761194029851,0.8803245436105477,0.4078341013824885,0.11299435028248588
14,516.0,325.0,290.0,136.0,15.0,0.6298449612403101,0.8923076923076924,0.4689655172413793,0.11029411764705882
15,751.0,512.0,459.0,167.0,18.0,0.681757656458056,0.896484375,0.3638344226579521,0.10778443113772455
16,671.0,615.0,569.0,263.0,34.0,0.9165424739195231,0.9252032520325203,0.46221441124780316,0.12927756653992395
