Date,Campaign,Ad Group,Impressions,Clicks,CTR,Avg CPM,Avg CPC,Cost,Avg Position,Conversions,Cost / Conversion
"01 September, 2011",Mountain Bikes,Common Keywords,7538,92,1.22%,$17.11,$1.4,$129.01,4,7,$18.43
"01 September, 2011",Mountain Bikes,Athletic Bikes,8891,58,0.65%,$10.63,$1.63,$94.48,1.2,7,$13.5
"01 September, 2011",Mountain Bikes,Adult Bikes,6097,85,1.39%,$30.94,$2.22,$188.63,1.6,9,$20.96
"01 September, 2011",Mountain Bikes,Kids Bikes,9703,37,0.38%,$8.48,$2.22,$82.32,2.8,11,$7.48
"02 September, 2011",Mountain Bikes,Common Keywords,7862,34,0.43%,$10.05,$2.32,$78.99,3.9,10,$7.9
"02 September, 2011",Mountain Bikes,Athletic Bikes,7870,30,0.38%,$9.31,$2.44,$73.26,1.3,15,$4.88
"02 September, 2011",Mountain Bikes,Adult Bikes,8398,38,0.45%,$6.44,$1.42,$54.08,1.5,15,$3.61
"02 September, 2011",Mountain Bikes,Kids Bikes,6361,41,0.64%,$11.83,$1.84,$75.27,2.8,11,$6.84
"03 September, 2011",Mountain Bikes,Common Keywords,8319,38,0.46%,$6.62,$1.45,$55.06,3.8,3,$18.35
"03 September, 2011",Mountain Bikes,Athletic Bikes,8927,39,0.44%,$7.22,$1.65,$64.46,1.2,9,$7.16
"03 September, 2011",Mountain Bikes,Adult Bikes,8051,69,0.86%,$8.91,$1.04,$71.76,1.5,5,$14.35
"03 September, 2011",Mountain Bikes,Kids Bikes,9190,46,0.50%,$8.88,$1.77,$81.57,1.9,4,$20.39
"04 September, 2011",Mountain Bikes,Common Keywords,6735,54,0.80%,$8.46,$1.06,$57.01,3.5,5,$11.4
"04 September, 2011",Mountain Bikes,Athletic Bikes,6668,88,1.32%,$26.55,$2.01,$177.02,1.2,14,$12.64
"04 September, 2011",Mountain Bikes,Adult Bikes,7653,87,1.14%,$11.43,$1.01,$87.47,1.5,14,$6.25
"04 September, 2011",Mountain Bikes,Kids Bikes,7233,38,0.53%,$10.02,$1.91,$72.48,3.8,7,$10.35
"05 September, 2011",Mountain Bikes,Common Keywords,7714,35,0.45%,$3.5,$0.77,$26.98,3.3,15,$1.8
"05 September, 2011",Mountain Bikes,Athletic Bikes,6363,55,0.86%,$16.83,$1.95,$107.11,1.2,7,$15.3
"05 September, 2011",Mountain Bikes,Adult Bikes,6984,41,0.59%,$14.55,$2.48,$101.6,1.5,15,$6.77
"05 September, 2011",Mountain Bikes,Kids Bikes,7413,37,0.50%,$9.77,$1.96,$72.42,2,5,$14.48
"06 September, 2011",Mountain Bikes,Common Keywords,9257,81,0.88%,$9.7,$1.11,$89.75,3.2,14,$6.41
"06 September, 2011",Mountain Bikes,Athletic Bikes,9475,72,0.76%,$13.32,$1.75,$126.19,1.2,14,$9.01
"06 September, 2011",Mountain Bikes,Adult Bikes,6739,44,0.65%,$9.65,$1.48,$65.02,1.4,4,$16.25
"06 September, 2011",Mountain Bikes,Kids Bikes,7968,34,0.43%,$6.42,$1.5,$51.12,1.7,8,$6.39
"07 September, 2011",Mountain Bikes,Common Keywords,6280,87,1.39%,$8.59,$0.62,$53.92,3.6,15,$3.59
"07 September, 2011",Mountain Bikes,Athletic Bikes,8585,53,0.62%,$4.17,$0.67,$35.76,1.2,4,$8.94
"07 September, 2011",Mountain Bikes,Adult Bikes,7082,51,0.72%,$5.34,$0.74,$37.8,1.5,11,$3.44
"07 September, 2011",Mountain Bikes,Kids Bikes,8887,70,0.79%,$7.12,$0.9,$63.31,2.6,12,$5.28
"08 September, 2011",Mountain Bikes,Common Keywords,7300,93,1.27%,$18.69,$1.47,$136.41,3,4,$34.1
