,Views,Visits,Conversions,Pages / Visit,Conversion Rate
0,283.0,129.0,4.0,2.193798449612403,0.031007751937984496
1,290.0,135.0,10.0,2.1481481481481484,0.07407407407407407
2,278.0,147.0,7.0,1.8911564625850341,0.047619047619047616
3,257.0,129.0,9.0,1.9922480620155039,0.06976744186046512
4,261.0,118.0,7.0,2.211864406779661,0.059322033898305086
5,195.0,99.0,5.0,1.9696969696969697,0.050505050505050504
6,169.0,84.0,6.0,2.011904761904762,0.07142857142857142
7,281.0,107.0,6.0,2.6261682242990654,0.056074766355140186
8,281.0,129.0,9.0,2.1782945736434107,0.06976744186046512
9,275.0,113.0,6.0,2.433628318584071,0.05309734513274336
10,316.0,147.0,10.0,2.1496598639455784,0.06802721088435375
11,267.0,128.0,6.0,2.0859375,0.046875
12,167.0,72.0,6.0,2.3194444444444446,0.08333333333333333
13,176.0,69.0,4.0,2.550724637681159,0.057971014492753624
14,295.0,149.0,11.0,1.9798657718120805,0.0738255033557047
15,303.0,134.0,9.0,2.2611940298507465,0.06716417910447761
16,273.0,104.0,9.0,2.625,0.08653846153846154
17,271.0,142.0,8.0,1.908450704225352,0.056338028169014086
18,289.0,157.0,11.0,1.8407643312101911,0.07006369426751592
19,202.0,83.0,7.0,2.433734939759036,0.08433734939759036
20,191.0,91.0,9.0,2.098901098901099,0.0989010989010989
21,305.0,145.0,8.0,2.103448275862069,0.05517241379310345
22,251.0,117.0,6.0,2.1452991452991452,0.05128205128205128
23,238.0,116.0,9.0,2.0517241379310347,0.07758620689655173
24,249.0,97.0,7.0,2.5670103092783507,0.07216494845360824
25,188.0,77.0,5.0,2.4415584415584415,0.06493506493506493
26,133.0,58.0,5.0,2.293103448275862,0.08620689655172414
27,121.0,57.0,3.0,2.1228070175438596,0.05263157894736842
28,201.0,95.0,8.0,2.1157894736842104,0.08421052631578947
29,202.0,109.0,8.0,1.853211009174312,0.07339449541284404
30,193.0,80.0,6.0,2.4125,0.075
31,206.0,111.0,6.0,1.8558558558558558,0.05405405405405406
32,188.0,88.0,5.0,2.1363636363636362,0.056818181818181816
33,133.0,54.0,2.0,2.462962962962963,0.037037037037037035
34,120.0,60.0,5.0,2.0,0.08333333333333333
35,200.0,104.0,6.0,1.9230769230769231,0.057692307692307696
36,214.0,87.0,6.0,2.4597701149425286,0.06896551724137931
37,199.0,83.0,5.0,2.397590361445783,0.060240963855421686
38,206.0,92.0,8.0,2.239130434782609,0.08695652173913043
39,187.0,75.0,3.0,2.493333333333333,0.04
40,128.0,59.0,5.0,2.169491525423729,0.0847457627118644
