"","date","births","wday","year","month","day","day_of_year","day_of_week"
"1",1969-01-01,8486,"Wed",1969,1,1,1,3
"2",1969-01-02,9002,"Thurs",1969,1,2,2,4
"3",1969-01-03,9542,"Fri",1969,1,3,3,5
"4",1969-01-04,8960,"Sat",1969,1,4,4,6
"5",1969-01-05,8390,"Sun",1969,1,5,5,7
"6",1969-01-06,9560,"Mon",1969,1,6,6,1
"7",1969-01-07,9738,"Tues",1969,1,7,7,2
"8",1969-01-08,9734,"Wed",1969,1,8,8,3
"9",1969-01-09,9434,"Thurs",1969,1,9,9,4
"10",1969-01-10,10042,"Fri",1969,1,10,10,5
"11",1969-01-11,9178,"Sat",1969,1,11,11,6
"12",1969-01-12,8450,"Sun",1969,1,12,12,7
"13",1969-01-13,9834,"Mon",1969,1,13,13,1
"14",1969-01-14,10366,"Tues",1969,1,14,14,2
"15",1969-01-15,9894,"Wed",1969,1,15,15,3
"16",1969-01-16,9662,"Thurs",1969,1,16,16,4
"17",1969-01-17,9974,"Fri",1969,1,17,17,5
"18",1969-01-18,9312,"Sat",1969,1,18,18,6
"19",1969-01-19,8622,"Sun",1969,1,19,19,7
"20",1969-01-20,9808,"Mon",1969,1,20,20,1
"21",1969-01-21,10474,"Tues",1969,1,21,21,2
"22",1969-01-22,9884,"Wed",1969,1,22,22,3
"23",1969-01-23,9454,"Thurs",1969,1,23,23,4
"24",1969-01-24,9798,"Fri",1969,1,24,24,5
"25",1969-01-25,9022,"Sat",1969,1,25,25,6
"26",1969-01-26,8568,"Sun",1969,1,26,26,7
"27",1969-01-27,9910,"Mon",1969,1,27,27,1
"28",1969-01-28,10032,"Tues",1969,1,28,28,2
"29",1969-01-29,9380,"Wed",1969,1,29,29,3
"30",1969-01-30,9674,"Thurs",1969,1,30,30,4
"31",1969-01-31,9692,"Fri",1969,1,31,31,5
"32",1969-02-01,9130,"Sat",1969,2,1,32,6
"33",1969-02-02,8814,"Sun",1969,2,2,33,7
"34",1969-02-03,9988,"Mon",1969,2,3,34,1
"35",1969-02-04,9996,"Tues",1969,2,4,35,2
"36",1969-02-05,9676,"Wed",1969,2,5,36,3
"37",1969-02-06,9728,"Thurs",1969,2,6,37,4
