"","hightemp","lowtemp","avgtemp","spring","summer","fall","cloudcover","precip","volume","weekday"
"1",83,50,66.5,0,1,0,7.59999990463257,0,501,"1"
"2",73,49,61,0,1,0,6.30000019073486,0.28999999165535,419,"1"
"3",74,52,63,1,0,0,7.5,0.319999992847443,397,"1"
"4",95,61,78,0,1,0,2.59999990463257,0,385,"0"
"5",44,52,48,1,0,0,10,0.140000000596046,200,"1"
"6",69,54,61.5,1,0,0,6.59999990463257,0.0199999995529652,375,"1"
"7",66,39,52.5,1,0,0,2.40000009536743,0,417,"1"
"8",66,38,52,1,0,0,0,0,629,"0"
"9",80,55,67.5,0,1,0,3.79999995231628,0,533,"0"
"10",79,45,62,0,1,0,4.09999990463257,0,547,"1"
"11",78,55,66.5,0,1,0,8.5,0,432,"1"
"12",65,48,56.5,1,0,0,7.19999980926514,0,418,"1"
"13",41,49,45,1,0,0,10,0.0299999993294477,193,"1"
"14",59,35,47,0,0,1,7.69999980926514,0,331,"1"
"15",50,35,42.5,0,0,1,5.80000019073486,0,280,"1"
"16",54,32,43,1,0,0,3.59999990463257,0,304,"1"
"17",97,71,84,0,1,0,6.09999990463257,0.680000007152557,352,"0"
"18",75,43,59,1,0,0,6.30000019073486,0,156,"1"
"19",63,35,49,1,0,0,8.60000038146973,0,365,"1"
"20",42,37,39.5,0,0,1,10,0.150000005960464,181,"1"
"21",70,49,59.5,1,0,0,7.90000009536743,0,514,"0"
"22",57,48,52.5,1,0,0,6.80000019073486,0,259,"1"
"23",71,39,55,1,0,0,5.19999980926514,0,452,"1"
"24",46,30,38,0,0,1,9.69999980926514,0.200000002980232,189,"1"
"25",61,35,48,1,0,0,4.40000009536743,0,362,"1"
"26",81,65,73,0,1,0,10,1.44000005722046,256,"1"
"27",64,58,61,0,1,0,10,1.14999997615814,155,"1"
"28",57,36,46.5,1,0,0,6.5,0.00999999977648258,174,"1"
"29",62,36,49,1,0,0,0,0,259,"1"
"30",83,54,68.5,0,1,0,1.20000004768372,0,535,"0"
"31",76,44,60,1,0,0,1.79999995231628,0,650,"0"
"32",74,50,62,1,0,0,8,0.119999997317791,409,"1"
"33",59,40,49.5,1,0,0,9.39999961853027,0.340000003576279,311,"1"
"34",77,52,64.5,1,0,0,5,0,736,"0"
"35",52,43,47.5,1,0,0,5.80000019073486,0.00999999977648258,186,"1"
"36",67,43,55,1,0,0,6.69999980926514,0,371,"1"
"37",51,19,35,0,0,1,0,0,291,"0"
"38",41,25,33,0,0,1,0,0,287,"1"
"39",90,65,77.5,0,1,0,8.39999961853027,0,411,"1"
"40",70,30,50,1,0,0,0,0,461,"0"
