"API_WellNo","County","CoName","Hole","SideTrck","Completion","Well_Typ","Field","Wl_Status","Well_Nm","town","Prod Form","MonthProd","GasProd","WaterProd","OilProd","Year"
"31013177890000","Chautauqua","Tenpas, Bruce","17789","00","00","GD","Lakeshore","AC","H Tenpas Unit 1","Sherman","Medina","12","1","0","0","2015"
"31013136510000","Chautauqua","Vertical Energy, Inc.","13651","00","00","OD","Busti","AC","Crandall 2-14","Busti","Glade","12","1","2","15","2015"
"31003249170000","Allegany","North Branch Energy LLC and Rexaco Corp","24917","00","00","OD","Beech Hill-Independence","AC","Kear II 2     ","Independence","Fulmer Valley","12","1661","2","1","2015"
"31013093530000","Chautauqua","Decker, James K. & Tiffany J.","09353","00","00","OD","Busti","AC","Tellinghuisen 6","Busti","Glade","12","1","1","1","2015"
"31013249200000","Chautauqua","Chautauqua Energy Drilling, Inc.","24920","00","00","GD","Lakeshore","AC","Erickson 1     ","Harmony","Medina","12","1064","0","169","2015"
"31003159490000","Allegany","Hollenbeck, Lloyd D.","15949","00","00","OD","Beech Hill-Independence","AC","Joyce Bros1","Andover","Fulmer Valley","4","1","5","15","2015"
"31009245360000","Cattaraugus","SWEPI LP","24536","00","00","OD","Bradford","AC","Rumsey Devonian Sec 14 Lot 3-257     ","Allegany","Upper Devonian","12","708","38","190","2015"
"31013250610000","Chautauqua","U S Energy Development Corp.","25061","00","00","GD","Lakeshore","AC","Scott 1     ","Charlotte","Medina","12","2216","0","0","2015"
"31029190770000","Erie","Cerne, Christine","19077","00","00","GD","Brant-Eden","AC","Hornung 1 1","Eden","Medina","12","1","0","0","2015"
"31009684660000","Cattaraugus","Woodruff, Michael C.","68466","00","00","OD","Bradford","AC","McDivitt 04","Olean","Bradford","12","0","10","50","2015"
"31003697930000","Allegany","Hogan Energy, Inc.","69793","00","00","OD","Clarksville","IN","Nichols 7","Clarksville","Not Applicable","0","0","0","0","2015"
"31013168930000","Chautauqua","Chautauqua Energy, Inc.","16893","00","00","GD","Lakeshore","AC","Morris 1","Chautauqua","Medina","12","200","0","0","2015"
"31013220210000","Chautauqua","Universal Resources Holdings, Incorporated","22021","00","00","GD","Lakeshore","AC","Penhollow 5","Charlotte","Medina","12","852","4","0","2015"
"31037173860000","Genesee","United States Gypsum Co.","17386","00","00","GD","Danley Corners","AC","Schwendler 1","Darien","Medina","12","246","2","0","2015"
"31053238850000","Madison","Emkey Resources, LLC","23885","00","00","GE","Lebanon","AC","Collins 11-500     ","Lebanon","Herkimer","12","216","0","0","2015"
"31003662440000","Allegany","Clark, Bruce N.","66244","00","00","OD","Fulmer Valley","AC","Clark 3","Andover","Fulmer Valley","12","1","1","2","2015"
"31009276560000","Cattaraugus","Uhl, Stephen L.","27656","00","00","OD","Chipmunk","AC","Schnell 12A     ","Allegany","Chipmunk","12","1","3","100","2015"
"31009246400000","Cattaraugus","SWEPI LP","24640","00","00","OD","Bradford","AC","Rumsey Devonian Sec 10 Lot 4-182     ","Allegany","Bradford Third","12","651","40","102","2015"
"31013148860000","Chautauqua","Empire Energy E&P LLC","14886","00","00","GD","Lakeshore","AC","Breads 611","Westfield","Medina","12","1072","0","0","2015"
"31003638650000","Allegany","Collins, David","63865","00","00","OD","Richburg","AC","Conklin 2","Bolivar","Richburg","1","0","1","2","2015"
"31009126330000","Cattaraugus","McCracken Oil & Gas, LLC","12633","00","00","OD","Bradford","AC","Chipchop No 032","Carrollton","Chipmunk, Bradford 2nd & 3rd","12","0","10","42","2015"
"31013200980000","Chautauqua","Empire Energy E&P LLC","20098","00","00","GD","Lakeshore","AC","Dunnewold, E 1","Clymer","Medina","12","1178","142","0","2015"
"31009246620000","Cattaraugus","SWEPI LP","24662","00","00","OD","Bradford","AC","Rumsey Devonian Sec 10 Lot 4 177     ","Allegany","Upper Devonian","12","651","40","102","2015"
"31003171420000","Allegany","Simon of Bolivar Enterprises, Inc.","17142","00","00","OD","Richburg","AC","Wheeler P11 (Shaner)     ","Bolivar","Richburg","11","0","84","8","2015"
"31029179740000","Erie","Bykowicz, Francis J.","17974","00","00","GD","Elma","AC","Piotrowski 1","Elma","Medina","12","1","0","0","2015"
"31013252680001","Chautauqua","U S Energy Development Corp.","25268","00","01","GD","Lakeshore","AC","Sirianno 1     ","Ellicott","Medina","12","3548","0","0","2015"
"31029155890000","Erie","Reilly, Paul C. & Ruth A.","15589","00","00","GD","Cowlesville","AC","Lucas 1","Marilla","Medina","12","1","0","0","2015"
